CompanyCode,Region,Location,ItemGrp,ItemCategory,ItemSubCategory,C-Qtr,P-Qtr,Variance,Indicator,C-Qtr Quantity,P-Qtr Quantity,Variance,Indicator
BFPL,EAST,Kolkata,[SQ & MANGO PANNA],SQ & MA,MANGO SQUASH (12X700)ML,0.96,0.05,19.70,?,1,0,20.24,?
BFPL,EAST,Kolkata,[SQ & MANGO PANNA],SQ & MA,ORANGE SQUASH (12X700)ML,5.24,0.49,9.76,?,8,1,11.29,?
BFPL,EAST,Kolkata,[SQ & MANGO PANNA],SQ & MA,PINEAPPLE SQUASH (12X700)ML,1.41,0.34,3.09,?,2,0,3.48,?
BFPL,EAST,Kolkata,[VINEGAR],VINEGAR,VINEGAR WHITE  12X700 ML,1.09,2.76,-0.61,?,3,9,-0.64,?
BFPL,EAST,Kolkata,[VINEGAR],VINEGAR,VINEGAR WHITE 24X300ML,2.56,4.97,-0.49,?,4,7,-0.48,?
BFPL,NORTH,Delhi,[CAN-FRUIT],P-SLICE,PINEAPPLE SLICE (24X850)GM,3.20,2.52,0.27,?,4,3,0.34,?
BFPL,NORTH,Delhi,[CAN-FRUIT],P-SLICE,PINEAPPLESLIICE (24X450)GM,0.21,0.61,-0.66,?,0,0,-0.66,?
BFPL,NORTH,Delhi,[CAN-VEG],B-BEANS,BAKED BEANS (24X450)GM,2.64,7.25,-0.64,?,2,6,-0.64,?
BFPL,NORTH,Delhi,[CAN-VEG],CORN,BABY CORN ( 24 x 850 gm ),0.00,0.30,-1.00,?,0,0,-1.00,?
BFPL,NORTH,Delhi,[CAN-VEG],CORN,BABY CORN (24X450)GM,0.58,1.61,-0.64,?,0,1,-0.65,?
BFPL,NORTH,Delhi,[CAN-VEG],CORN,SWEET CORN (24X450)GM,2.15,3.77,-0.43,?,2,4,-0.44,?
BFPL,NORTH,Delhi,[CRUSH],CRUSH,PINEAPPLE CRUSH (12X700)ML,0.03,0.00,-,?,0,0,-,?
BFPL,NORTH,Delhi,[CRUSH],CRUSH,STRAWBERRY CRUSH (12X700)ML,0.01,0.01,0.02,?,0,0,0.00,?
BFPL,NORTH,Delhi,[JAM],JAM 1 KG,MIX FR JAM 24X1050GM,0.44,0.14,2.06,?,0,0,2.00,?
BFPL,NORTH,Delhi,[JAM],JAM 1 KG,MIX FRUIT JAM (12X1000)GM,0.03,0.06,-0.48,?,0,0,-0.49,?
BFPL,NORTH,Delhi,[JAM],JAM 1 KG,ORANGE MARMALADE (12X1000)GM,0.01,0.07,-0.80,?,0,0,-0.80,?
BFPL,NORTH,Delhi,[JAM],JAM 1 KG,ORANGE MARMALADE (24X1050)GM,0.14,0.00,-,?,0,0,-,?
BFPL,NORTH,Delhi,[JAM],JAM 1 KG,ORNAGE MARMALADE JAM 1050GM,0.03,0.00,-,?,0,0,-,?
BFPL,NORTH,Delhi,[JAM],JAM 4KG,APRICOT JAM 4 X 4 KG,0.26,0.11,1.30,?,0,0,1.14,?
BFPL,NORTH,Delhi,[JAM],JAM 4KG,MANGO JAM 4 X 4KG,0.02,0.05,-0.67,?,0,0,-0.67,?
BFPL,NORTH,Delhi,[JAM],JAM 4KG,MIX FRUIT JAM 4 X 4KG,0.29,1.35,-0.79,?,0,1,-0.78,?
BFPL,NORTH,Delhi,[JAM],JAM 4KG,ORANGE MARMALADE 4 X 4KG,0.08,0.64,-0.87,?,0,1,-0.88,?
BFPL,NORTH,Delhi,[JAM],JAM 4KG,PINEAPPLE JAM (6X4)KG,0.08,0.02,2.75,?,0,0,3.00,?
BFPL,NORTH,Delhi,[JAM],JAM 4KG,PINEAPPLE JAM 4 X 4KG,0.31,0.00,-,?,0,0,-,?
BFPL,NORTH,Delhi,[JAM],JAM 4KG,STRAWBERRY JAM (4 X4 KG),0.03,0.03,0.00,?,0,0,0.00,?
BFPL,NORTH,Delhi,[JAM],JAM 7 KG,APPLE JAM (4X7)KG,0.08,0.00,-,?,0,0,-,?
BFPL,NORTH,Delhi,[JAM],JAM 7 KG,MANGO JAM (4X7)KG,0.00,0.27,-1.00,?,0,0,-1.00,?
BFPL,NORTH,Delhi,[JAM],JAM 7 KG,MIX FR JAM (4X7)KG,0.72,0.76,-0.06,?,1,1,-0.11,?
BFPL,NORTH,Delhi,[JAM],JAM 7 KG,ORANGE MARMALADE (4X7)KG,0.00,0.23,-1.00,?,0,0,-1.00,?
BFPL,NORTH,Delhi,[JAM],JAM 7 KG,PINEAPPLE JAM (4X7)KG,0.00,0.02,-1.00,?,0,0,-1.00,?
BFPL,NORTH,Delhi,[JAM],JAM 200,MANGO JAM (48 X200)GM,0.00,0.02,-1.00,?,0,0,-1.00,?
BFPL,NORTH,Delhi,[JAM],JAM 200,MIXED FRUIT JAM (48X200)GM,0.10,0.16,-0.39,?,0,0,-0.45,?
